nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,+0.67(7),
,,92,77 ns,,9/2+,-0.95(5),,,
,,105,0.48 ns,,3/2-,+0.31(11),,,
,,168,0.38 ns,,5/2+,+1.8(5),,,
62 Sm 152,,122,1.40 ns,,2+,+0.80(6),,,
,,,,,,+0.84(5),,,
,,,,,,,,-1.666(16) a,R
,,,,,,,,-1.702(17) a,
,,366,56.6 ps,,4+,+1.7(2),,,
,,,,,,+1.22(15),,,
,,707,10.1 ps,,6+,+2.4(3),,,
,,810,7.2 ps,,2+,+0.8(2),,,
,,1086,0.85 ps,,2+,+0.8(2),,,
,,1125,3.3 ps,,8+,+2.8(5),,,
,,1609,1.38 ps,,10+,+4(2),,,
,,gsb,,,<10+,g(0) = +0.38(3),,,
,,,,,,x10*3=0.4(2),,,
62 Sm 153,,0,46.8 h,,3/2+,-0.021(3),,,
,,,,,,-0.0257(14),,,
,,,,,,-0.0216(1),,,
,,,,,,,,+1.30(12),R
,,,,,,,,+1.26(13),
62 Sm 154,,82,3.01 ns,,2+,+0.78(4),,,
,,,,,,,,-1.87(4) a,R
,,267,165 ps,,4+,+1.35(15),,,
,,544,23.4,,6+,+1.9(3),,,
,,gsb,,,<10+,+0.39(3),,,
,,,,,,-1.3(15),,,
62 Sm 155,,0,22.4 m,,3/2-,,,1.13(13),R
63 Eu 138,,0,12.1 s,,(6-),5.3(7),,,
63 Eu 139,,0,17.9s,,(11/2-),6.1(8),,,
63 Eu 140,,0 + x,1.54 s,,1+,+1.365(13),,,
,,,,,,,,+0.31(4),R
63 Eu 141,,0,40 s,,5/2+,+3.494(8),,,
,,,,,,,,+0.85(4),R
63 Eu 142,,0,2.4 s,,1+,+1.54(2),,,
,,,,,,,,+0.12(5),R
,,180,73 s,,8-,+2.978(11),,,
,,,,,,,,+1.41(6),R
,,282 + x,6.2 ns,,8+,+4.1(2),,,
63 Eu 143,,0,2.6 m,,5/2+,+3.673(8),,,
,,,,,,,,+0.51(3),R
63 Eu 144,,0,10 s,,1+,+1.893(13),,,
,,,,,,,,+0.10(3),R
63 Eu 145,,0,5.93 d,,5/2+,+3.999(3),,,
,,,,,,+3.993(7),,,
,,,,,,3.2(5),,,
,,,,,,,,Q/Q(153Eu) = 0.1168(9),
,,,,,,,,+0.29(2),R
,,716,0.49 s,,11/2-,+7.46(4),,,
63 Eu 146,,0,4.59 d,,4-,+1.421(8),,,
,,,,,,+1.425(11),,,
,,,,,,1.3(2),,,
,,,,,,1.7(3),,,
,,,,,,,,Q/Q(153Eu) = -0.074(2),
,,,,,,,,-0.18(6),R
63 Eu 147,,0,24.1 d,,5/2+,+3.736(6),,,
,,,,,,+3.725(7),,,
,,,,,,+3.724(8),,,
,,,,,,4.0(9),,,
,,,,,,3.1(4),,,
,,,,,,3.7(5),,,
,,,,,,,,Q/Q(153Eu) = 0.218(2),
,,,,,,,,+0.49(3),
,,,,,,,,+0.55(3),R
,,635,765 ns,,11/2-,+7.05(3),,,
,,,,,,+7.04(6),,,
63 Eu 148,,0,54.5 d,,5-,+2.340(10),,,
,,,,,,2.2(4),,,
,,,,,,2.1(3),,,
,,,,,,,,+0.35(6),R
,,720,235 ns,,9+,+6.12(5),,,
63 Eu 149,,0,93.1 d,,5/2+,+3.576(10),,,
,,,,,,+3.565(6),,,
,,,,,,,,+0.70(8),
,,,,,,,,+0.75(2),R
,,497,2.43 s,,11/2-,+7.0(3),,,
63 Eu 150,,0,35.8 y,,5-,+2.708(11),,,
,,,,,,,,+1.13(5),R
63 Eu 151,,0,stable,,5/2+,+3.4717(6),,,
,,,,,,,,Q/Q(153Eu) = 0.3918(2),
,,,,,,,,Q/Q(153Eu) = 0.39191(12),
,,,,,,,,Q/Q(153Eu)=0.393(9),
,,,,,,,,"0.83 e,st",
,,,,,,,,+0.95(3),
,,,,,,,,+0.903(10) a,R
,,,,,,,,1.53(5),
,,,,,,,,1.32(13),
,,22,9.5 ns,,7/2+,+2.591(2),,,
,,,,,,,,1.28(2) a,R
,,,,,,,,+1.19(2),
63 Eu 152,,0,13.54 y,,3-,-1.9401(8),,,
,,,,,,-1.950(12),,,
,,,,,,-1.96(6),,,
,,,,,,-1.9414(13),,,
,,,,,,,,Q/Q(153Eu) = 1.1822(5),
,,,,,,,,+2.72(3),R
,,,,,,,,+2.5(2),
63 Eu 153,,0,stable,,5/2+,+1.5324(3),,,
,,,,,,+1.56(4),,,
,,,,,,+1.538(13),,,
,,,,,,+1.5330(8),,,
,,,,,,,,"2.22 e,st",
,,,,,,,,+2.28(9),
,,,,,,,,+2.41(2) a,R
,,,,,,,,3.92(12),
,,,,,,,,3.6(4),
,,83,0.80 ns,,7/2+,+1.81(6),,,
,,,,,,,,0.44(2) a,R
,,97,180 ps,,5/2-,+3.2(2) or -0.5(2),,,
,,103,3.9 ns,,3/2+,+2.048(6),,,
,,,,,,,,1.253(12),R
63 Eu 154,,0,8.6 y,,3-,-2.005(6),,,
,,,,,,-2.02(5),,,
,,,,,,,,+2.85(10),R
,,,,,,,,+3.4(3),
63 Eu 155,,0,4.68 y,,5/2+,+1.520(2),,,
,,,,,,+1.52(2),,,
,,,,,,1.519(10),,,
,,,,,,+1.56(10),,,
,,,,,,,,+2.49(2),
,,,,,,,,2.51(6),
,,,,,,,,+2.5(3),R
,,,,,,,,+2.3(2),
,,104,0.104 ns,,5/2-,+9.6(10),,,
63 Eu 157,,0,15.2 h,,5/2+,+1.50(2),,,
,,,,,,,,+2.6(3),R
63 Eu 158,,0,45.9 m,,1-,+1.44(2),,,
,,,,,,,,+0.66(14),R
63 Eu 159,,0,18.1 m,,5/2+,+1.38(2),,,
,,,,,,,,+2.7(3),R
64 Gd 144,,3433,130 ns,,10+,+12.76(14),,,
,,,,,,,,-1.40(6),R
,,,,,,,,-1.46(6),
64 Gd 145,,0,22 m,,1/2+,-0.74(5),,,
,,749,85 s,,11/2-,-1.0(2),,,
64 Gd 146,,1580,1.1 ns,,3-,+2.1(9),,,
,,2982,6.7 ns,,7-,+9.0(2),,,
,,,,,,+8.3(4),,,
,,,,,,+7.9(6),,,
,,8916,4.1 ns,,(19+),+12(2),,,
64 Gd 147,,0,38.1 h,,7/2-,1.02(9),,,
,,,,,,1.2(2),,,
,,997,22.2 ns,,13/2+,+0.49(2),,,
,,,,,,-0.24(7),,,
,,,,,,,,-0.70(8),R
,,,,,,,,-0.73(7),
,,2760,4.4 ns,,21/2+,+7.6(12),,,
,,3582,27 ns,,27/2-,+11.3(2),,,
,,,,,,+11.9(3),,,
,,,,,,,,-1.21(9),R
,,,,,,,,-1.26(8),
,,8587,510 ns,,49/2+,+10.9(2),,,
,,,,,,,,-3.00(18),R
,,,,,,,,-3.24(18),
,,10993,0.8 ns,,59/2-,+11(2),,,
64 Gd 148,,2695,16.5 ns,,9-,-0.16(2),,,
,,,,,,-0.25(8),,,
,,,,,,,,0.96(5),R
,,,,,,,,1.01(5),
64 Gd 149,,0,9.4 d,,7/2-,0.88(4),,,
,,,,,,0.97(6),,,
,,,,,,1.1(2),,,
,,165,1.7 ns,,5/2-,-0.9(2),,,
64 Gd 151,,0,120 d,,7/2-,0.77(6),,,
,,109,3.0 ns,,5/2-,-1.08(13),,,
,,,,,,-1.2(2),,,
,,395,0.31 ns,,3/2-,-2.5(8),,,
64 Gd 152,,344,28.6 ps,,2+,+0.96(8),,,
,,,,,,+0.90(8),,,
,,755,6.1 ps,,4+,+2.0(5),,,
64 Gd 153,,0,241.6 d,,3/2-,0.38(8),,,
,,110,1.97 ns,,5/2-,+0.40(15),,,
,,129,2.50 ns,,3/2-,+0.37(7),,,
64 Gd 154,,123,1.17 ns,,2+,+0.96(6),,,
,,,,,,+0.86(6),,,
,,,,,,,,-1.82(4) a,R
64 Gd 155,,0,stable,,3/2-,-0.2572(4),,,
,,,,,,-0.2591(5),,,
,,,,,,,,+1.27(5) st,
,,,,,,,,1.27(3) a,R
,,,,,,,,+1.30(2) a,
,,60,0.19 ns,,5/2-,,,-0.44(2) a,
,,87,6.35 ns,,5/2+,-0.525(2),,,
,,,,,,-0.518(5),,,
,,,,,,-0.533(4),,,
,,,,,,,,+0.110(8),R
,,,,,,,,+0.13(3),
,,,,,,,,+0.111(7),
,,,,,,,,+0.113(8),
,,105,1.18 ns,,3/2+,+0.143(5),,,
,,,,,,,,+1.27(5),R
,,,,,,,,+0.96(3),
,,,,,,,,+1.30(4),
,,146,101 ps,,7/2-,+0.4(4),,,
,,252,58 ps,,9/2-,+1.2(3),,,
,,392,23 ps,,11/2-,+1.5(3),,,
,,534,14.6 ps,,13/2-,+1.9(3),,,
,,730,5.8 ps,,15/2-,+2.6(5),,,
,,897,4.9 ps,,17/2-,+2.2(9),,,
,,1142,2.4 ps,,19/2-,+2.9(10),,,
64 Gd 156,,89,2.21 ns,,2+,+0.82(14),,,
,,,,,,+0.774(8),,,
,,,,,,,,-1.93(4) a,R
,,,,,,,,-1.96(4),
,,288,112 ps,,4+,+1.68(12),,,
,,,,,,+1.76(16),,,
,,,,,,+1.31(8),,,
,,,,,,+1.63(15),,,
,,,,,,+1.55(14),,,
,,,,,,+1.24(8),,,
,,585,16 ps,,6+,+2.4(2),,,
,,,,,,+2.3(4),,,
,,,,,,+2.2(4),,,
,,,,,,+1.5(13),,,
,,965,4.3 ps,,8+,+2.7(3),,,
,,1511,190 ps,,4+,+3.24(11),,,
,,gsb,,,<10+,g(10+)/g(2+) =0.89(12),,,
,,,,,,x10*3=-1.1(12),,,
64 Gd 157,,0,stable,,3/2-,-0.3398(7),,,
,,,,,,-0.3373(6),,,
,,,,,,,,+1.36(6) st,
,,,,,,,,+1.35(3) a,R
,,,,,,,,+1.36(2) a,
,,,,,,,,1.34(7) st,
,,,,,,,,+1.38(2),
,,55,0.13 ns,,5/2-,,,-0.46(2) a,
,,64,0.46 s,,5/2+,-0.464(11),,,
,,,,,,,,+2.43(7),R
64 Gd 158,,80,2.52 ns,,2+,+0.78(6),,,
,,,,,,+0.762(8),,,
,,,,,,+0.9(2),,,
,,,,,,+0.8(2),,,
,,,,,,,,-2.01(4) a,R
,,,,,,,,-1.96(4),
,,261,148 ps,,4+,+1.60(12),,,
,,,,,,+1.4(2),,,
,,,,,,+1.55(12),,,
,,,,,,+1.64(6),,,
,,539,16 ps,,6+,+2.5(2),,,
,,,,,,2.4(3),,,
,,,,,,2.3(3),,,
,,904,5.1,,8+,3.4(4),,,
,,gsb,,,<10+,0.83(11),,,
,,,,,,-1.7(11),,,
64 Gd 159,,0,18.6 h,,3/2-,-0.44(3),,,
64 Gd 160,,75,2.70 ns,,2+,+0.72(4),,,
,,,,,,,,-2.08(4) a,R
,,248,,,4+,1.6(2),,,
,,,,,,1.5(2),,,
,,515,,,6+,2.4(3),,,
,,,,,,2.3(3),,,
,,gsb,,,<10+,g(10+)/g(2+) =0.93(13),,,
,,,,,,x10*3=-0.7(12),,,
65 Tb 147,,0,1.7 h,,1/2+,+1.70(5),,,
65 Tb 148,,0,60 m,,2-,-1.75(2),,,
,,,,,,,,-0.3(2),R
65 Tb 149,,0,4.12 h,,1/2+,+1.35(2),,,
,,2518,3.5 ns,,(27/2)+,4.9(12),,,
65 Tb 150,,0 + x,3.48 h,,2-,-0.90(2),,,
,,,,,,,,0.00(13),R
65 Tb 151,,0,17.6 h,,1/2+,+0.919(6),,,
65 Tb 152,,0,17.5 h,,2-,-0.58(2),,,
,,,,,,,,+0.34(13),R
,,,,,,,,+0.5(16),
65 Tb 153,,0,2.34 d,,5/2+,+3.44(2),,,
,,,,,,3.5(7),,,
,,,,,,,,+1.08(14),R
65 Tb 154,,0 + x,9.4 h,,3-,+1.6(2),,,
,,,,,,1.8(4),,,
,,,,,,,,+2.4(13),R
,,,,,,,,+2.9(15),
,,0 + y,22.7 h,,7-,0.9(3),,,
65 Tb 155,,0,5.32 d,,3/2+,+2.01(2),,,
,,,,,,2.0(2),,,
,,,,,,,,+1.41(6),R
65 Tb 156,,0,5.35 d,,3-,1.7(2),,,
,,,,,,1.9(3),,,
,,,,,,1.4(2),,,
,,,,,,,,+2.3(8),R
,,,,,,,,+3.0(9),
,,,,,,,,+1.4(5),
65 Tb 157,,0,99 y,,3/2+,+2.01(2),,,
,,,,,,2.0(1),,,
,,,,,,,,+1.40(8),R
65 Tb 158,,0,150 y,,3-,+1.758(7),,,
,,,,,,,,+2.7(5) st,R
65 Tb 159,,0,stable,,3/2+,+2.014(4),,,
,,,,,,,,+1.432(8) a,R
,,58,53.5 ps,,5/2-,3.9(2),,,
,,,,,,1.62(9) or 2.32(13),,,
65 Tb 160,,0,72.1 d,,3-,1.790(7),,,
,,,,,,+1.702(8),,,
,,,,,,1.5(6),,,
,,,,,,,,3.85(5),R
,,,,,,,,3.56(10),
65 Tb 161,,0,6.9 d,,3/2+,2.2(1),,,
,,,,,,,,+1.3(6),
66 Dy 147,,0,~1.3 m,,(1/2+),-0.915(9),,,
,,751,59 s,,(11/2-),-0.655(10),,,
,,,,,,,,+0.67(10),R
66 Dy 149,,0,4.23 m,,7/2-,-0.119(7),,,
,,,,,,,,-0.62(5),R
,,8522,28 ns,,(49/2),+10.0(15),,,
66 Dy 151,,0,17 m,,7/2-,-0.945(7),,,
,,,,,,,,-0.30(5),R
66 Dy 152,,6129,9.9 ns,,21-,+11.6(12),,,
,,7882,1.6 ns,,27-,+2.4(11),,,
,,,,,31 - 56,g(avge) = 0.21(1),,,
66 Dy 153,,0,6.3 h,,7/2-,-0.782(6),,,
,,,,,,-0.715(6),,,
,,,,,,,,-0.02(5),
,,,,,,,,-0.15(9),R
66 Dy 154,,yrast,,,2+,0.72(8),,,
,,band,,,4+,"1.6(2), g/g(2+) 1.1(2)",,,
,,,,,6+ - 8+,g/g(2+) 1.0(3),,,
,,,,,10+ - 14+,g/g(2+) 0.5(4),,,
,,,,,16+ - 20+,g/g(2+) 0.3(4),,,
,,,,,22+ - 30+,g/g(2+) 0.8(4),,,
,,,,,32+ - 36+,g/g(2+) 1.2(3),,,
,,cont.,short,,I(av) = 26,g(avge) = +0.39(5),,,
66 Dy 155,,0,10.0 h,,3/2-,-0.385(4),,,
,,,,,,-0.339(2),,,
,,,,,,,,+1.04(3),
,,,,,,,,+0.96(2),R
,,,,,,,,+0.967(14),
66 Dy 156,,138,0.82 ns,,2+,+0.78(8),,,
,,cont,short,,I(av) = 19,g(avge) = +0.11(4),,,
,,,,,,g(avge) = +0.12(3),,,
,,,,,I(av) = 21,g(avge) = +0.14(6),,,
,,,,,I(av) = 23,g(avge) = +0.20(3),,,
,,,,,,g(avge) = +0.21(7),,,
,,,,,I(av) = 23,g(avge) = +0.21(3),,,
66 Dy 157,,0,8.1 h,,3/2-,-0.301(2),,,
,,,,,,-0.302(2),,,
,,,,,,,,+1.30(2),
,,,,,,,,+1.29(2),R
,,,,,,,,+1.30(1),
66 Dy 158,,99,1.66 ns,,2+,+0.72(5),,,
,,317,73 ps,,4+,+1.33(10),,,
,,,,,,+1.36(8),,,
,,,,,,+1.4(2),,,
,,,,,,+1.4(2),,,
,,638,10.8 ps,,6+,+1.42(13),,,
,,,,,,+1.2(2),,,
,,1044,2.9 ps,,8+,+2.5(7),,,
,,,,,,+1.7(9),,,
,,,,,,+3.3(10),,,
,,>1044,,,I(av) = 14,g(avge) = +0.04(11),,,
,,gsband,,,<16+, x 10*3 = -1.5(13),,,
66 Dy 159,,0,144 d,,3/2-,-0.354(3),,,
,,,,,,,,+1.37(2),R
66 Dy 160,,87,1.96 ns,,2+,+0.74(2),,,
,,,,,,+0.70(3),,,
,,,,,,,,1.8(4),R
,,284,101 ps,,4+,+1.60(12),,,
,,,,,,+1.40(8),,,
,,581,18.6 ps,,6+,+2.11(10),,,
,,,,,,+1.45(12),,,
,,966,1.34 ps,,2+,+0.80(5),,,
,,,,,,+0.63(2),,,
,,,,,,+0.34(9),,,
,,967,3.8 ps,,8+,+2.7(2),,,
,,,,,,+2.4(8),,,
,,1429,1.56 ps,,10+,+3.1(3),,,
,,1951,0.89 ps,,12+,+3.6(7),,,
,,gsband,,,<16+, x 10*3 = -1.5(16),,,
66 Dy 161,,0,stable,,5/2+,-0.480(3),,,
,,,,,,-0.481(5),,,
,,,,,,,,+2.51(2),R
,,,,,,,,2.47(3) a,
,,26,29 ns,,5/2-,+0.594(3),,,
,,,,,,,,+2.51(2),R
,,44,0.78 ns,,7/2+,-0.141(5),,,
,,,,,,,,+0.53(13),R
,,75,3.2 ns,,3/2-,-0.403(4),,,
,,,,,,,,+1.45(6),R
66 Dy 162,,81,2.25 ns,,2+,+0.69(3),,,
,,266,133 ps,,4+,+1.14(12),,,
,,549,19 ps,,6+,+2.18(11),,,
,,,,,,+1.8(2),,,
,,888,2.0 ps,,2+,+0.92(6),,,
,,921,4.5 ps,,8+,+3.05(16),,,
,,,,,,+3.4(10),,,
,,1375,1.6 ps,,10+,+3.6(4),,,
66 Dy 163,,0,stable,,5/2-,+0.673(4),,,
,,,,,,,,2.318(6),
,,,,,,,,+2.65(2) a,R
66 Dy 164,,73,2.39 ns,,2+,+0.68(2),,,
,,,,,,+0.73(3),,,
,,,,,,,,-2.08(15),R
,,242,0.20 ns,,4+,+1.00(12),,,
,,,,,,+1.5(5),,,
,,501,26.6 ps,,6+,+1.95(10),,,
,,,,,,+1.6(3),,,
,,,,,,+1.7(5),,,
,,762,4.6 ps,,2+,+0.76(5),,,
,,,,,,+0.6(2),,,
,,844,7.2 ps,,8+,+2.48(16),,,
,,,,,,+2.2(7),,,
,,1261,2.3 ps,,10+,+3.1(4),,,
,,,,,,+3.5(13),,,
66 Dy 165,,0,2.33 h,,7/2+,-0.520(5),,,
,,,,,,,,-3.48(7),R
67 Ho 152,,0,161.8 s,,2-,-1.02(2),,,
,,,,,,,,+0.1(2),R
,,160,49.5 s,,9+,+5.94(5),,,
,,,,,,,,-1.3(8),R
67 Ho 153,,0,2.0 m,,11/2-,+6.81(5),,,
,,,,,,,,-1.1(5),R
,,68,9.3 m,,1/2+,+1.19(1),,,
67 Ho 154,,0,11.76 m,,2-,-0.643(6),,,
,,,,,,,,+0.19(10),R
,,320,3.10 m,,8+,+5.65(6),,,
,,,,,,,,-1.0(5),R
67 Ho 155,,0,48 m,,5/2+,+3.51(3),,,
,,,,,,,,+1.56(10),R
,,,,,,,,+1.52(10) st,
67 Ho 156,,0,56 m,,4+,+2.99(3),,,
,,,,,,,,+2.40(18),R
,,,,,,,,+2.3(2) st,
67 Ho 157,,0,12.6 m,,7/2-,+4.35(3),,,
,,,,,,,,+3.05(13),R
,,,,,,,,+2.97(13) st,
67 Ho 158,,0,11.3 m,,5+,+3.77(3),,,
,,,,,,,,+4.2(4),R
,,,,,,,,+4.1(4) st,
,,67.2,28 m,,2-,+2.44(3),,,
,,,,,,,,+1.66(17),R
,,,,,,,,+1.6(2) st,
67 Ho 159,,0,35.05 m,,7/2-,+4.28(3),,,
,,,,,,,,+3.27(13),R
,,,,,,,,3.19(13) st,
67 Ho 160,,0,25.6 m,,5+,+3.71(3),,,
,,,,,,,,+4.0(2),R
,,,,,,,,+4.0(2) st,
,,60,5.02 h,,2-,+2.52(3),,,
,,,,,,,,+1.83(17),R
,,,,,,,,+1.8(2)st,
67 Ho 161,,0,2.48 h,,7/2-,+4.25(3),,,
,,,,,,,,+3.30(11),R
,,,,,,,,3.22(11) st,
67 Ho 162,,106,67 m,,6-,+3.60(4),,,
,,,,,,,,+4.0(7),R
,,,,,,,,3.9(7) st,
67 Ho 163,,0,4570 y,,7/2-,+4.23(4),,,
,,,,,,,,+3.7(6),R
,,,,,,,,3.6(6) st,
67 Ho 165,,0,stable,,7/2-,+4.17(3),,,
,,,,,,,,3.58(2) a,R
,,,,,,,,+2.716(9),
,,,,,,,,3.60(2) a,
,,,,,,,,3.41(8) a,
,,,,,,,,3.53(8) a,
,,,,,,,,+3.49(3) a,
,,95,22 ps,,9/2-,4.1(2),,,
,,,,,,,,+3.52(4),R
,,,,,,,,3.43(4) a,
67 Ho 166,,6,1200 y,,(7)-,3.60(16),,,
,,,,,,3.65(13),,,
,,,,,,3.60(5),,,
,,,,,,,,-3(3),
,,54,3.4 ns,,2-,+0.068(10),,,
68 Er 152,,2184,1.8 ns,,8+,-0.6(6),,,
,,4521,1.2 ns,,16+,+5(2),,,
68 Er 153,,0,37.1 s,,(7/2-),-0.939(7),,,
,,,,,,,,-0.42(2),R
68 Er 154,,3016 + x,39 ns,,11-,+0.169(13),,,
,,,,,,+0.19(3),,,
68 Er 155,,0,5.3 m,,7/2-,-0.671(5),,,
,,,,,,,,-0.27(2),R
,,563,30 ns,,13/2+,-0.55(3),,,
68 Er 156,,345,33 ps,,2+,0.80(12),,,
68 Er 157,,0,25 m,,3/2-,-0.414(3),,,
,,,,,,,,+0.92(2),R
,,266+x,54 ps,,17/2+,0.4(4),,,
68 Er 158,,192,0.30 ns,,2+,0.72(11),,,
68 Er 159,,0,36 m,,3/2-,-0.305(2),,,
,,,,,,,,+1.17(1),R
,,784,8.2 ps,,21/2+,<0.74,,,
68 Er 160,,126,0.919 ns,,2+,+0.66(12),,,
,,390,34 ps,,4+,1.28(19),,,
68 Er 161,,0,3.21 h,,3/2-,-0.367(3),,,
,,,,,,-0.369(3),,,
,,,,,,,,+1.35(2),
,,,,,,,,+1.363(8),R
68 Er 162,,102,1.3 ns,,2+,,,< 0,
,,901,1.24 ps,,2+,,,1.8(6),R
68 Er 163,,0,75.1 m,,5/2-,+0.560(4),,,
,,,,,,,,+2.56(2),R
,,,,,,,,+2.57(10),
68 Er 164,,92,1.48 ns,,2+,0.697(15),,,
,,,,,,,,< 0,
,,299,86 ps,,4+,+1.46(15),,,
,,,,,,+1.36(8),,,
,,614,,,6+,+1.88(9),,,
,,860,1.9 ps,,2+,+0.81(6),,,
,,,,,,,,2.4(3),R
,,1025,2.6 ps,,8+,+2.72(13),,,
,,1518,1.0 ps,,10+,+3.2(3),,,
68 Er 165,,0,10.36 h,,5/2-,+0.646(4),,,
,,,,,,,,+2.71(3),R
,,243,0.31 ns,,3/2-,+0.6(2),,,
68 Er 166,,81,1.85 ns,,2+,+0.649(10),,,
,,,,,,+0.632(10),,,
,,,,,,,,-2.9(10),
,,,,,,,,-1.9(4),R
,,265,118 ps,,4+,+1.14(8),,,
,,,,,,+1.26(6),,,
,,,,,,,,-2.7(9),R
,,545,16.8 ps,,6+,+1.72(9),,,
,,,,,,+1.6(2),,,
,,,,,,+1.55(7),,,
,,786,4.6 ps,,2+,+0.74(5),,,
,,,,,,+0.56(9),,,
,,,,,,,,2.2(3),R
,,,,,,,,2.1(4),
,,,,,,,,2.0(3),
,,911,4.2 ps,,8+,+2.2(2),,,
,,,,,,+1.9(3),,,
,,,,,,+2.1(4),,,
,,1216,3.9 ps,,6+,+1.5(2),,,
,,1350,1.7 ps,,10+,+2.8(4),,,
,,,,,,+2.0(8),,,
68 Er 167,,0,stable,,7/2+,-0.56385(12),,,
,,,,,,-0.565(2),,,
,,,,,,,,+3.57(3) a,R
,,,,,,,,+2.827(12),
68 Er 168,,80,1.86 ns,,2+,+0.62(6),,,
,,,,,,+0.658(14),,,
,,264,121 ps,,4+,+1.17(12),,,
,,,,,,+1.26(16),,,
,,,,,,,,-2.2(10),R
,,549,16.8 ps,,6+,+1.81(12),,,
,,,,,,+2.0(3),,,
,,821,2.9 ps,,2+,+0.77(4),,,
,,,,,,+0.72(14),,,
,,,,,,,,2.3(2),R
,,928,3.4 ps,,8+,+2.4(2),,,
,,,,,,+2.7(5),,,
,,1094,112.5 ns,,4-,+0.96(4),,,
,,1396,1.4 ps,,10+,+3.1(4),,,
,,,,,,+3.2(8),,,
68 Er 169,,0,9.40 d,,1/2-,+0.52(3),,,
,,,,,,+0.4850(2),,,
68 Er 170,,79,1.90 ns,,2+,0.633(13),,,
,,,,,,,,-1.9(2),R
,,260,~135 ps,,4+,+1.09(15),,,
,,,,,,,,-2.2(10),R
,,934,1.7 ps,,2+,,,2.0(3),R
68 Er 171,,0,7.52 h,,5/2-,0.659(10),,,
,,,,,,,,2.86(9),R
69 Tm 153,,0,1.48 s,,(11/2-),6.93(11),,,
,,,,,,,,+0.5(10),R
69 Tm 154,,0,8.1 s,,(2-),-1.14(2),,,
,,,,,,,,+0.4(9),R
,,0 + x,3.30 s,,(9+),+5.91(5),,,
,,,,,,,,-0.2(4),R
69 Tm 156,,0,1.3 m,,2-,+0.40(3),,,
,,,,,,,,-0.48(11) st,R
69 Tm 157,,0,3.6 m,,1/2+,+0.476(15),,,
69 Tm 158,,0,4.3 m,,2-,+0.04(2),,,
,,,,,,,,+0.74(11) st,R
69 Tm 159,,0,9.0 m,,5/2+,+3.42(3),,,
,,,,,,,,+1.93(7) st,R
69 Tm 160,,0,9.4 m,,1-,+0.16(2),,,
,,,,,,,,+0.58(4) st,R
69 Tm 161,,0,38 m,,7/2+,+2.40(2),,,
,,,,,,,,+2.90(7) st,R
69 Tm 162,,0,21 m,,1-,+0.068(8),,,
,,,,,,,,+0.69(3) st,R
69 Tm 163,,0,1.8 h,,1/2+,-0.082(1),,,
69 Tm 164,,0,2.0 m,,1+,+2.38(3),,,
,,,,,,,,+0.71(5) st,R
69 Tm 165,,0,30.06 h,,1/2+,-0.139(2),,,
69 Tm 166,,0,7.7 h,,2+,+0.092(1),,,
,,,,,,,,+2.14(3) st,R
69 Tm 167,,0,9.25 d,,1/2+,-0.197(2),,,
69 Tm 168,,0,85 d,,3+,+0.227(11),,,
,,,,,,,,+3.23(7) st,R
69 Tm 169,,0,stable,,1/2+,-0.2310(15) d,,,
,,,,,,-0.229(3),,,
,,,,,,0.24(1),,,
,,,,,,-0.21(2),,,
,,8,3.9 ns,,3/2+,+0.515(5),,,
,,,,,,+0.513(5),,,
,,,,,,,,-1.2(1) st,R
,,118,62 ps,,5/2+,+0.76(5),,,
,,139,302 ps,,7/2+,+1.34(5),,,
,,316,660 ns,,7/2+,+0.156(8),,,
,,332,19 ps,,9/2+,+1.56(9),,,
,,368,42 ps,,11/2+,+2.28(14),,,
,,379,48 ns,,7/2-,+3.04(14),,,
,,637,5.6 ps,,13/2+,+2.37(14),,,
,,691,8.4 ps,,15/2+,+3.2(3),,,
,,1028,2.0 ps,,17/2+,+3.2(3),,,
,,1104,2.0 ps,,19/2+,+4.2(8),,,
69 Tm 170,,0,128.6 d,,1+,+0.246(2),,,
,,,,,,+0.247(5),,,
,,,,,,,,+0.72(5) st,
,,,,,,,,+0.74(2) st,R
,,,,,,,,0.63(5),
69 Tm 171,,0,1.92 y,,1/2+,-0.228(4),,,
,,117,55 ps,,5/2+,+0.8(4),,,
,,129,415 ps,,7/2+,+1.27(12),,,
,,636,1.26 ns,,7/2+,+1.2(2),,,
70 Yb 155,,0,1.59 s,,(7/2-),-0.91(2),,,
,,,,,,-0.84(8),,,
,,,,,,,,-0.5(3),R
,,,,,,,,-1.2(10),
70 Yb 157,,0,38.6 s,,7/2-,-0.639(8),,,
,,494 + x,45 ns,,13/2+,-0.75(8),,,
70 Yb 158,,band,,,30 - 38,+0.20(7),,,
70 Yb 159,,0,1.58 m,,5/2-,-0.368(8),,,
,,,,,,-0.366(8),,,
,,,,,,,,-0.22(2),R
70 Yb 160,,band,,,~4+,+1.9(10),,,
,,band,,,14+,-3(4),,,
,,band,,,34 - 42,0.12(7),,,
70 Yb 161,,0,4.2 m,,3/2-,-0.327(8),,,
,,,,,,,,+1.03(2),R
70 Yb 162,,cont.,,,20-32,g(avge) = 0.24(5),,,
70 Yb 163,,0,11.0 m,,3/2-,-0.374(8),,,
,,,,,,,,+1.24(2),R
70 Yb 164,,123,0.88 ns,,2+,+0.64(10),,,
70 Yb 165,,0,9.9 m,,5/2-,+0.478(8),,,
